sentence	label
[CLS]  Quel document de 1850 énonçait officiellement l'intention de créer une norme unifiée ?  [SEP]  Au milieu du XIXe siècle, le serbe (dirigé par l "écrivain autodidacte et folkloriste Vuk Stefanović Karadžić) et la plupart des écrivains et linguistes croates (représentés par le mouvement illyrien et dirigés par Ljudevit Gaj et Đuro Daničić) ont proposé l'utilisation du dialecte croate le plus répandu, le shtokavian, comme base de leur langue standard commune. Karadžić a normalisé l'alphabet cyrillique serbe, et Gaj et Daničić ont normalisé l'alphabet latin croate, sur la base de phonèmes de langage vernaculaire et du principe de l'orthographe phonologique. En 1850, les écrivains et linguistes serbes et croates ont signé l'Accord littéraire de Vienne, déclarant leur intention de créer une norme unifiée.	0
[CLS]  Où se trouvent toutes les résidences d'étudiants de première année de l'Université Washington ?  [SEP]  Plus de 50 % des étudiants de premier cycle vivent sur le campus. La plupart des résidences universitaires sur le campus sont situées sur le campus South 40, nommé en raison de son emplacement adjacent du côté sud du campus Danforth et de sa superficie de 40 acres (160 000 m2). C'est l'emplacement de tous les bâtiments destinés aux étudiants de première année ainsi que de plusieurs bâtiments destinés aux étudiants de niveau supérieur, qui sont établis dans le réseau traditionnel des collèges résidentiels. Toutes les résidences universitaires sont mixtes. Le South 40 est organisé comme un environnement convivial pour les piétons où des résidences entourent une pelouse récréative centrale connue sous le nom de marais. Bear's Den (la plus grande salle à manger du campus), le Habif Health and Wellness Center (services de santé pour étudiants), le Residential Life Office, le quartier général de la police de l'université, diverses entreprises appartenant à des étudiants (p. ex. le service de blanchissage, le Wash U) et	0
[CLS]  Qui était un mentor mais a refusé plus tard l'occasion de juger Idol ?  [SEP]  Toutefois, le succès des anciens de l "émission a mené à une évaluation plus positive de l" émission, et on a dit de l "émission qu'elle avait" prouvé qu'elle avait un moyen valable de recruter des talents et une façon éprouvée de vendre des disques ". Bien que l'industrie soit divisée quant au succès de l" émission, son impact se fait particulièrement sentir dans le format de musique country. Selon un ex-membre de CMT, qui réfléchit au succès des anciens d'Idol dans le genre country, "si vous voulez vous faire connaître rapidement en assistant à une audition d'appel de bétail à la télévision, Idol demeure raisonnablement le premier choix pour qui que ce soit", et que la musique country et Idol "vont bien ensemble".	1
[CLS]  Du XIe siècle jusqu'en 1931, la population des Juifs ashkénazes a augmenté de quel pourcentage ?  [SEP]  Dans le tractat yoma du Talmud babylonien, le nom Gomer est donné comme Germania, qui ailleurs dans la littérature rabbinique a été identifiée avec Germanikia dans le nord-ouest de la Syrie, mais est devenue plus tard associée à la Germania. Ashkenaz est lié à Scandza / Scanzia, considéré comme le berceau des tribus germaniques, dès le 6e siècle, comme un brillant à l'Historia Ecclesiastica d'Eusebius. Au 10e siècle, Histoire de l'Arménie de Yovhannes Drasxanakertc'i (1.15) Ashkenaz était associé à l'Arménie, comme il l'était à l'occasion dans l'usage juif, où sa dénotation s'étendait parfois à Adiabene, Khazaria, Crimée et aux régions de l'est. Son Gaon saadia contemporain a identifié Ash	1
[CLS]  Quelle pièce est la meilleure en termes de conservation ?  [SEP]  Un certain nombre d'ensembles sculpturaux de cette époque, érigés sur les tombes des membres de la famille royale et d'autres dignitaires, ont survécu (à des degrés divers de préservation) dans les banlieues nord-est et est de Nanjing, principalement à Qixia et dans le district de Jiangning. Le mieux préservé d'entre eux est peut-être l'ensemble du tombeau de Xiao Xiu (475 518), frère de l'empereur Wu de Liang.	0
[CLS]  Quelle direction prend la Meridiana ?  [SEP]  La cathédrale possède un héliomètre ("observatoire" solaire) de 1690, l'un des nombreux construits en Italie aux XVIIe et XVIIIe siècles. Le dispositif lui-même est très simple : un petit trou dans l'un des dômes mineurs sert de caméra de trou d'épingle, projetant une image du soleil sur le sol à midi solaire (12 : 00 en hiver, 13 : 00 en été). Il y a une ligne de bronze, la Meridiana sur le sol, orientée précisément N / S. Les extrémités de la ligne marquent les positions comme aux solstices d'été et d'hiver ; des signes du zodiaque montrent les diverses autres dates tout au long de l'année.	0
[CLS]  Quel était le nom de la convention de bande dessinée auto-organisée de Marvel ?  [SEP]  En 1978, Jim Shooter devient le rédacteur en chef de Marvel. Bien qu'il s'agisse d'une personnalité controversée, Shooter corrige de nombreux problèmes de procédure chez Marvel, y compris le non-respect répété des échéances. Pendant les neuf années du mandat de Shooter à titre de rédacteur en chef, la course de Chris Claremont et John Byrne sur les Uncanny X-Men et celle de Frank Miller sur Daredevil deviennent des succès critiques et commerciaux. Shooter fait entrer Marvel dans le marché direct en rapide évolution, institutionnalise les droits d'auteur des créateurs, à commencer par l'empreinte d'Epic Comics pour le matériel appartenant aux créateurs en 1982 ; introduit des arcs d'histoires croisés à l'échelle de la compagnie avec le Concours des champions et Secret Wars ; et, en 1986, lance la ligne New Universe pour commémorer le 25e anniversaire de l'imprime de Marvel Comics.	1
[CLS]  Quelle était la nationalité de Beauvoir ?  [SEP]  Les principaux rôles de la construction et des services (gouvernement, communications, banque et finance, production alimentaire, divertissement et services juridiques) dans l'économie de Brasília reflètent le statut de la ville en tant que centre gouvernemental plutôt qu'industriel. Les industries liées à la construction, à la transformation des aliments et à l'ameublement sont importantes, tout comme celles associées à l'édition, à l'imprimerie et aux logiciels informatiques. Le PIB est divisé comme suit : administration publique 54,8 %, services 28,7 %, industrie 10,2 %, commerce 6,1 %, agro-industrie 0,2 %.	1
[CLS]  Quel est le nom de l'ouvrage publié en 1991 par Paul Davies et John Gribbins ?  [SEP]  Certains physiciens et auteurs scientifiques modernes, tels que Paul Davies et John Gribbin, soutiennent que le matérialisme a été démenti par certaines découvertes scientifiques en physique, comme la mécanique quantique et la théorie du chaos. En 1991, Gribbin et Davies publient leur livre The Matter Myth, dont le premier chapitre, "The Death of Materialism", contient le passage suivant :	0
[CLS]  Où se produisent la plupart des blessures ?  [SEP]  En cas de chute, de descente ou de chambre forte, l'atterrissage est la phase finale, après le décollage et le vol Il s'agit d'une compétence essentielle en termes de résultats de compétition, de performance générale et de blessures. Sans l'ampleur nécessaire de la dissipation d "énergie au cours de l'impact, le risque de subir des blessures au cours des sauts périlleux augmente. Ces blessures se produisent généralement aux extrémités inférieures, comme les lésions du cartilage, les déchirures de ligament et les ecchymoses ou fractures osseuses. Pour éviter de telles blessures et obtenir un résultat élevé, le gymnaste doit utiliser une technique appropriée.	0
[CLS]  Le bois final est-il plus dense ou moins dense que le bois initial ?  [SEP]  Chez les résineux des régions tempérées, il y a souvent une différence marquée entre le bois d'été et le bois de printemps. Le bois d'été est plus dense que celui formé au début de la saison. Lorsqu'on l'examine au microscope, on constate que les cellules du bois d'été dense sont très épaisses et ont de très petites cavités cellulaires, alors que celles qui se forment les premières ont des parois minces et de grandes cavités cellulaires. La résistance se trouve dans les parois et non dans les cavités. Par conséquent, plus la proportion de bois d'été est grande, plus la densité et la résistance sont grandes. Lorsqu'on choisit un morceau de pin où la résistance ou la rigidité est un facteur important, la principale chose à observer est la quantité comparative de bois d'été et de bois d'été. La largeur de l'anneau n'est pas aussi importante que la proportion et la nature du bois d'été dans l'anneau.	0
[CLS]  Sur qui les agrégateurs de nouvelles portaient-ils atteinte au droit d'auteur ?  [SEP]  En Europe, l'affaire d'atteinte au droit d'auteur Public Relations Consultants Association Ltd contre Newspaper Licensing Agency Ltd comportait deux volets : l'un concernait la question de savoir si un service d'agrégateur de nouvelles portait atteinte au droit d'auteur des producteurs de nouvelles ; l'autre portait sur la question de savoir si la mémoire cache temporaire créée par le navigateur Web d'un utilisateur du service d'agrégateur portait également atteinte au droit d'auteur des producteurs de nouvelles. Le premier volet a été tranché en faveur des producteurs de nouvelles ; en juin 2014, le deuxième volet a été tranché par la Cour de justice de l'Union européenne (CJEU), qui a jugé que la mémoire cache temporaire créée par les consommateurs du service d'agrégateur ne portait pas atteinte au droit d'auteur des producteurs de nouvelles.	0
